TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-04-04,2025-04-04,FO,NSE,STF,73497,,MPHASIS,,2025-04-24,2025-04-24,,,MPHASIS25APRFUT,2386.4,2386.4,2228.0,2236.65,2242.5,2378.2,2229.25,2236.65,4030950,177925,6469,4061783770.0,5707,F1,275,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57061,,MPHASIS,,2025-06-26,2025-06-26,,,MPHASIS25JUNFUT,2384.0,2395.4,2264.9,2264.9,2264.9,2415.4,2229.25,2264.9,4950,2200,15,9630747.5,15,F1,275,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57450,,MPHASIS,,2025-05-29,2025-05-29,,,MPHASIS25MAYFUT,2369.3,2382.75,2244.2,2252.0,2256.3,2391.5,2229.25,2252.0,68750,10725,258,162911691.25,253,F1,275,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73506,,NESTLEIND,,2025-04-24,2025-04-24,,,NESTLEIND25APRFUT,2230.15,2292.0,2220.9,2270.8,2271.0,2249.8,2262.1,2270.8,8507600,-174800,6429,2908575350.0,5520,F1,200,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57469,,NESTLEIND,,2025-05-29,2025-05-29,,,NESTLEIND25MAYFUT,2253.25,2305.0,2236.0,2284.55,2287.25,2262.05,2262.1,2284.55,227800,124000,907,412603070.0,596,F1,200,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57067,,NESTLEIND,,2025-06-26,2025-06-26,,,NESTLEIND25JUNFUT,2250.0,2305.0,2250.0,2297.7,2297.0,2275.6,2262.1,2297.7,6200,1000,21,9615610.0,20,F1,200,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57474,,NTPC,,2025-05-29,2025-05-29,,,NTPC25MAYFUT,361.5,361.5,352.3,353.95,354.3,362.35,350.4,353.95,2107500,541500,909,485640975.0,875,F1,1500,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57070,,NTPC,,2025-06-26,2025-06-26,,,NTPC25JUNFUT,363.15,363.2,354.85,356.7,356.7,364.35,350.4,356.7,114000,19500,39,20991750.0,38,F1,1500,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73509,,NTPC,,2025-04-24,2025-04-24,,,NTPC25APRFUT,359.35,360.0,349.8,351.85,352.3,359.8,350.4,351.85,86191500,-1182000,11947,6348740700.0,10109,F1,1500,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73531,,PRESTIGE,,2025-04-24,2025-04-24,,,PRESTIGE25APRFUT,1180.4,1180.4,1112.45,1128.5,1131.55,1192.95,1127.05,1128.5,4613050,-190125,3186,1181822671.25,2796,F1,325,,,,,
